room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18210241,1425,36092985,Shared room,,Philadelphia,,NORTH_CENTRAL,0,0.0,10,1.0,,15.0,,2017-07-10 03:14:33.907810,39.972513,-75.159966,0101000020E6100000349E08E23CCA52C0A9F7544E7BFC4340
10014459,1425,6065901,Shared room,,Philadelphia,,FISHTOWN,5,5.0,2,1.0,,27.0,,2017-07-10 03:14:33.903687,39.968753,-75.133687,0101000020E61000009F39EB538EC852C071732A1900FC4340
8310836,1425,43816736,Shared room,,Philadelphia,,ALLEGHENY_WEST,1,0.0,16,1.0,,22.0,,2017-07-10 03:14:32.919201,40.005208,-75.183174,0101000020E61000008FDE701FB9CB52C0BBD6DEA7AA004440
18718595,1425,2550810,Shared room,,Philadelphia,,POINT_BREEZE,1,0.0,2,1.0,,32.0,,2017-07-10 03:14:32.914498,39.93559,-75.175841,0101000020E6100000F1129CFA40CB52C0793BC269C1F74340
17029981,1425,114158850,Shared room,,Philadelphia,,WASHINGTON_SQUARE,10,4.5,2,1.0,,33.0,,2017-07-10 03:14:32.911703,39.951342,-75.16042,0101000020E6100000F5673F5244CA52C0D6A71C93C5F94340
9372065,1425,47766724,Shared room,,Philadelphia,,RITTENHOUSE,9,5.0,1,1.0,,40.0,,2017-07-10 03:14:32.908509,39.947617,-75.175926,0101000020E61000000821205F42CB52C01B118C834BF94340
19721550,1425,18738821,Shared room,,Philadelphia,,POINT_BREEZE,0,0.0,8,1.0,,29.0,,2017-07-10 03:14:32.905845,39.93583,-75.167368,0101000020E610000067994528B6CA52C0CF4E0647C9F74340
15492868,1425,44302521,Shared room,,Philadelphia,,SPRUCE_HILL,27,5.0,1,1.0,,28.0,,2017-07-10 03:14:32.903485,39.956831,-75.209121,0101000020E610000009FA0B3D62CD52C045662E7079FA4340
18289232,1425,80950430,Shared room,,Philadelphia,,WASHINGTON_SQUARE,6,5.0,1,1.0,,25.0,,2017-07-10 03:14:32.900184,39.944365,-75.161311,0101000020E61000000B5F5FEB52CA52C0573ECBF3E0F84340
14340807,1425,52952345,Shared room,,Philadelphia,,HARTRANFT,6,5.0,15,1.0,,14.0,,2017-07-10 03:14:32.897851,39.989569,-75.149623,0101000020E6100000AFEE586C93C952C056116E32AAFE4340
19612863,1425,57178798,Shared room,,Philadelphia,,FISHTOWN,0,0.0,2,1.0,,36.0,,2017-07-10 03:14:32.895256,39.978563,-75.128716,0101000020E6100000349E08E23CC852C0AF09698D41FD4340
